Year,Category,Value_USD,Percentage,Total_Exports_USD
YR2000,Food,486389245.2479172,7.61291665750379,6389000000.0
YR2000,Fuel,14644767.375146272,0.229218459463864,6389000000.0
YR2000,Manufactures,5782657090.453366,90.5095803796113,6389000000.0
YR2000,Agricultural Raw Materials,92563863.94679084,1.44880050002803,6389000000.0
YR2000,Machinery and Transport Equipment,903221.7454208921,0.0141371379781013,6389000000.0
YR2001,Food,369035900.49115473,6.06966941597294,6080000000.0
YR2001,Fuel,9486611.407319902,0.156029792883551,6080000000.0
YR2001,Manufactures,5636009038.946296,92.6975170879325,6080000000.0
YR2001,Agricultural Raw Materials,59965383.65315937,0.986272757453279,6080000000.0
YR2001,Machinery and Transport Equipment,532440.7336233705,0.00875724890827912,6080000000.0
YR2002,Food,419451204.2336174,6.82145396379277,6149000000.0
YR2002,Fuel,18785837.91516516,0.305510455605223,6149000000.0
YR2002,Manufactures,5514763404.668871,89.6855326828569,6149000000.0
YR2002,Agricultural Raw Materials,63531884.77465684,1.03320677792579,6149000000.0
YR2002,Machinery and Transport Equipment,2522497.7868909244,0.0410228945664486,6149000000.0
YR2003,Food,404589784.42938644,5.78812281014859,6990000000.0
YR2003,Fuel,22601428.44563854,0.32333946274161,6990000000.0
YR2003,Manufactures,6494654687.71313,92.9135148456814,6990000000.0
YR2003,Agricultural Raw Materials,65415056.263991565,0.93583771479244,6990000000.0
YR2003,Machinery and Transport Equipment,1639271.4651943946,0.0234516661687324,6990000000.0
YR2004,Food,513606085.1166126,6.18429964017595,8305000000.0
YR2004,Fuel,38909539.49825119,0.468507399136077,8305000000.0
YR2004,Manufactures,7633186313.386195,91.9107322502853,8305000000.0
YR2004,Agricultural Raw Materials,104454539.13507754,1.25773075418516,8305000000.0
YR2004,Machinery and Transport Equipment,13278884.584155822,0.159890241832099,8305000000.0
YR2005,Food,578442769.7926787,6.22182176823361,9297000000.0
YR2005,Fuel,53859363.723502345,0.579319820624958,9297000000.0
YR2005,Manufactures,8477744662.70093,91.1879602312674,9297000000.0
YR2005,Agricultural Raw Materials,159488734.24633226,1.71548600888816,9297000000.0
YR2005,Machinery and Transport Equipment,18402116.051802974,0.197936065954641,9297000000.0
YR2006,Food,699656600.1910802,5.92828842730961,11802000000.0
YR2006,Fuel,89866312.91446103,0.761449863704974,11802000000.0
YR2006,Manufactures,10778956454.087873,91.3316086602938,11802000000.0
YR2006,Agricultural Raw Materials,193879525.93859816,1.64276839466699,11802000000.0
YR2006,Machinery and Transport Equipment,39534596.564481474,0.334982177296064,11802000000.0
YR2007,Food,811928779.1937364,6.51994522760569,12453000000.0
YR2007,Fuel,202090559.45781672,1.62282630256016,12453000000.0
YR2007,Manufactures,10993660532.003992,88.2812216494338,12453000000.0
YR2007,Agricultural Raw Materials,388920070.5131487,3.12310343301332,12453000000.0
YR2007,Machinery and Transport Equipment,52931152.06733495,0.425047394742913,12453000000.0
YR2008,Food,740692669.7805449,4.81908048002957,15370000000.0
YR2008,Fuel,216812163.0957158,1.41061914831305,15370000000.0
YR2008,Manufactures,14126125993.341312,91.9071307309129,15370000000.0
YR2008,Agricultural Raw Materials,235940500.76373988,1.53507157295862,15370000000.0
YR2008,Machinery and Transport Equipment,50217687.774006374,0.326725359622683,15370000000.0
YR2009,Food,557299824.7660116,3.694887123026,15083000000.0
YR2009,Fuel,260431924.47371352,1.72665865195063,15083000000.0
YR2009,Manufactures,13982570279.652056,92.704172111994,15083000000.0
YR2009,Agricultural Raw Materials,232641573.69028744,1.54240916058004,15083000000.0
YR2009,Machinery and Transport Equipment,49964909.44030329,0.331266388916683,15083000000.0
YR2010,Food,773470066.6146024,4.0297492269178,19194000000.0
YR2010,Fuel,359581261.072891,1.87340450699641,19194000000.0
YR2010,Manufactures,17598227611.64004,91.686087379598,19194000000.0
YR2010,Agricultural Raw Materials,374014928.61329985,1.94860335841044,19194000000.0
YR2010,Machinery and Transport Equipment,88586694.18930542,0.461533261380147,19194000000.0
YR2011,Food,943334718.4748123,3.85995629311679,24439000000.0
YR2011,Fuel,281531321.783345,1.15197562004724,24439000000.0
YR2011,Manufactures,22675981820.50533,92.7860461578024,24439000000.0
YR2011,Agricultural Raw Materials,428549247.03466123,1.7535465732422,24439000000.0
YR2011,Machinery and Transport Equipment,109582829.37503886,0.448393262306309,24439000000.0
YR2012,Food,664356213.3080815,2.64399336692833,25127000000.0
YR2012,Fuel,458249528.1319442,1.82373354611352,25127000000.0
YR2012,Manufactures,23317148804.054638,92.7971855138084,25127000000.0
YR2012,Agricultural Raw Materials,350093886.1395091,1.39329759278668,25127000000.0
YR2012,Machinery and Transport Equipment,104999708.94002263,0.417876025550295,25127000000.0
YR2013,Food,1150062622.8481562,3.95020479098769,29114000000.0
YR2013,Fuel,330587978.40061253,1.13549487669373,29114000000.0
YR2013,Manufactures,27233200928.738983,93.5398809120663,29114000000.0
YR2013,Agricultural Raw Materials,306094149.4944154,1.0513641186179,29114000000.0
YR2013,Machinery and Transport Equipment,91474445.66830406,0.314194015485004,29114000000.0
YR2015,Food,876173404.428242,2.70599278676995,32379000000.0
YR2015,Fuel,181740319.44580132,0.561290711404927,32379000000.0
YR2015,Manufactures,31023065220.642185,95.8123018643015,32379000000.0
YR2015,Agricultural Raw Materials,241930226.6578911,0.747182515389268,32379000000.0
YR2015,Machinery and Transport Equipment,55566174.16967774,0.171611767409981,32379000000.0
YR2016,Food,1059268432.9699677,3.0356749956152,34894000000.0
YR2016,Fuel,279144782.8100563,0.799979316816806,34894000000.0
YR2016,Manufactures,33157467535.87035,95.0234067056524,34894000000.0
YR2016,Agricultural Raw Materials,327868337.35487527,0.939612361308177,34894000000.0
YR2016,Machinery and Transport Equipment,69534212.30499828,0.199272689588463,34894000000.0
YR2017,Food,1115922044.1462557,3.11266643649063,35851000000.0
YR2017,Fuel,244768604.56746393,0.682738569544682,35851000000.0
YR2017,Manufactures,34129411730.513752,95.1979351496855,35851000000.0
YR2017,Agricultural Raw Materials,260659340.1241719,0.727062955354584,35851000000.0
YR2017,Machinery and Transport Equipment,99494566.60855997,0.27752243063948,35851000000.0
YR2018,Food,1329501587.220643,3.38709259966535,39252000000.0
YR2018,Fuel,430546655.03326523,1.09687826106508,39252000000.0
YR2018,Manufactures,37074712244.369064,94.4530526963443,39252000000.0
YR2018,Agricultural Raw Materials,301393312.06786394,0.767841924151289,39252000000.0
YR2018,Machinery and Transport Equipment,115320556.29751204,0.293795364051544,39252000000.0
